baseline,NS,index,Unnamed: 0,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,AU-ROC,ACC,do,alpha_error,beta_error
COM,5000,58.0,58.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.6133652535684895,53.63111111111111,0.0,-0.23179734349250788,-0.25179056227207186
COM,10000,58.0,58.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.669299454757127,55.80222222222222,0.0,-0.18857921957969662,-0.19312079052130382
COM,20000,58.0,58.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.6995008274521434,57.14,0.0,-0.14329081773757932,-0.1518389602502187
COM,30000,58.0,58.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.7242436945130982,60.51777777777777,0.0,-0.10152699748675026,-0.08674677113691964
COM,40000,58.0,58.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.7711748850568655,65.5261111111111,0.0,-0.08950031002362564,-0.13717474242051442
COM,50000,58.0,58.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.7406408403087911,64.94933333333333,0.0,-0.06490000685056047,-0.06740256349245706
COM,60000,58.0,58.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.7307687773053565,64.26703703703704,0.0,-0.08214473525683082,-0.13794632852077482
COM,70000,58.0,58.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.7908051280277827,68.59396825396826,0.0,-0.020232721418142263,-0.08124859233697254
COM,80000,58.0,58.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.7701909025212845,68.15138888888889,0.0,-0.045503820975621494,-0.07829086184501648
COM-SL,5000,59.0,59.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.6129122388264141,53.568888888888885,0.0,-0.23179734349250788,-0.25179056227207186
COM-SL,10000,59.0,59.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.6334501670776166,57.89555555555555,0.0,-0.18857921957969662,-0.19312079052130382
COM-SL,20000,59.0,59.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.6697994293347753,61.43222222222222,0.0,-0.14329081773757932,-0.1518389602502187
COM-SL,30000,59.0,59.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.7629277802970749,70.13925925925926,0.0,-0.10152699748675026,-0.08674677113691964
COM-SL,40000,59.0,59.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.7578918691656416,67.795,0.0,-0.08950031002362564,-0.13717474242051442
COM-SL,50000,59.0,59.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.7985948270337914,71.43822222222222,0.0,-0.06490000685056047,-0.06740256349245706
COM-SL,60000,59.0,59.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.7724909867919029,67.94851851851853,0.0,-0.08214473525683082,-0.13794632852077482
COM-SL,70000,59.0,59.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.7701395581544334,69.74031746031747,0.0,-0.020232721418142263,-0.08124859233697254
COM-SL,80000,59.0,59.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.7811393276951313,72.14972222222222,0.0,-0.045503820975621494,-0.07829086184501648
OBS,5000,56.0,56.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.4964407637495183,49.34222222222222,0.0,-0.23179734349250788,-0.25179056227207186
OBS,10000,56.0,56.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.5446543012661691,48.98444444444444,0.0,-0.18857921957969662,-0.19312079052130382
OBS,20000,56.0,56.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.560744007644217,49.49777777777778,0.0,-0.14329081773757932,-0.1518389602502187
OBS,30000,56.0,56.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.5766086875091679,50.19925925925926,0.0,-0.10152699748675026,-0.08674677113691964
OBS,40000,56.0,56.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.573400744975061,49.632222222222225,0.0,-0.08950031002362564,-0.13717474242051442
OBS,50000,56.0,56.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.5710678829597291,51.54622222222222,0.0,-0.06490000685056047,-0.06740256349245706
OBS,60000,56.0,56.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.5565341524616284,50.30814814814814,0.0,-0.08214473525683082,-0.13794632852077482
OBS,70000,56.0,56.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.5823929564218162,50.71619047619048,0.0,-0.020232721418142263,-0.08124859233697254
OBS,80000,56.0,56.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.5950687470025426,52.42722222222222,0.0,-0.045503820975621494,-0.07829086184501648
OBS Oracle,5000,57.0,57.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.5298661327040571,48.64,0.0,-0.23179734349250788,-0.25179056227207186
OBS Oracle,10000,57.0,57.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.5650679535865787,50.39555555555555,0.0,-0.18857921957969662,-0.19312079052130382
OBS Oracle,20000,57.0,57.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.6106910066527981,51.67222222222222,0.0,-0.14329081773757932,-0.1518389602502187
OBS Oracle,30000,57.0,57.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.611089646451154,53.89259259259259,0.0,-0.10152699748675026,-0.08674677113691964
OBS Oracle,40000,57.0,57.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.6401201530374182,58.93277777777778,0.0,-0.08950031002362564,-0.13717474242051442
OBS Oracle,50000,57.0,57.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.6276840337770923,57.714666666666666,0.0,-0.06490000685056047,-0.06740256349245706
OBS Oracle,60000,57.0,57.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.6117808763197683,55.053703703703704,0.0,-0.08214473525683082,-0.13794632852077482
OBS Oracle,70000,57.0,57.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.6393854245461579,57.95714285714286,0.0,-0.020232721418142263,-0.08124859233697254
OBS Oracle,80000,57.0,57.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.6428050690386663,59.55638888888889,0.0,-0.045503820975621494,-0.07829086184501648
Proxy Oracle,5000,62.0,62.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.6277205920763101,54.43555555555555,0.0,-0.23179734349250788,-0.25179056227207186
Proxy Oracle,10000,62.0,62.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.6773768915432026,55.10222222222222,0.0,-0.18857921957969662,-0.19312079052130382
Proxy Oracle,20000,62.0,62.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.7297868486060293,59.82666666666667,0.0,-0.14329081773757932,-0.1518389602502187
Proxy Oracle,30000,62.0,62.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.7261428338227223,62.36,0.0,-0.10152699748675026,-0.08674677113691964
Proxy Oracle,40000,62.0,62.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.7774631527307473,65.67444444444445,0.0,-0.08950031002362564,-0.13717474242051442
Proxy Oracle,50000,62.0,62.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.8227596845094249,69.96844444444444,0.0,-0.06490000685056047,-0.06740256349245706
Proxy Oracle,60000,62.0,62.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.7624432245449275,67.02444444444444,0.0,-0.08214473525683082,-0.13794632852077482
Proxy Oracle,70000,62.0,62.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.7031490504211239,62.294920634920636,0.0,-0.020232721418142263,-0.08124859233697254
Proxy Oracle,80000,62.0,62.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.7645126347497474,66.6225,0.0,-0.045503820975621494,-0.07829086184501648
RW,5000,60.0,60.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.6309119708409426,54.76,0.0,-0.23179734349250788,-0.25179056227207186
RW,10000,60.0,60.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.63873610248545,54.00666666666666,0.0,-0.18857921957969662,-0.19312079052130382
RW,20000,60.0,60.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.7278679092503817,59.75444444444444,0.0,-0.14329081773757932,-0.1518389602502187
RW,30000,60.0,60.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.8107148569685556,66.57333333333334,0.0,-0.10152699748675026,-0.08674677113691964
RW,40000,60.0,60.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.7747697868785598,64.79333333333334,0.0,-0.08950031002362564,-0.13717474242051442
RW,50000,60.0,60.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.797880352561293,68.46355555555556,0.0,-0.06490000685056047,-0.06740256349245706
RW,60000,60.0,60.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.7680936566068451,66.23333333333333,0.0,-0.08214473525683082,-0.13794632852077482
RW,70000,60.0,60.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.7714378475557545,65.43523809523809,0.0,-0.020232721418142263,-0.08124859233697254
RW,80000,60.0,60.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.737834828054252,65.70916666666668,0.0,-0.045503820975621494,-0.07829086184501648
RW-SL,5000,61.0,61.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.5751185445078127,51.29777777777778,0.0,-0.23179734349250788,-0.25179056227207186
RW-SL,10000,61.0,61.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.6304398470882572,57.20666666666667,0.0,-0.18857921957969662,-0.19312079052130382
RW-SL,20000,61.0,61.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.6624656844166387,60.15222222222222,0.0,-0.14329081773757932,-0.1518389602502187
RW-SL,30000,61.0,61.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.7998469640924614,70.34740740740742,0.0,-0.10152699748675026,-0.08674677113691964
RW-SL,40000,61.0,61.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.7042239735261997,63.40222222222222,0.0,-0.08950031002362564,-0.13717474242051442
RW-SL,50000,61.0,61.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.7386896275396232,67.76311111111112,0.0,-0.06490000685056047,-0.06740256349245706
RW-SL,60000,61.0,61.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.760767197744475,70.05555555555556,0.0,-0.08214473525683082,-0.13794632852077482
RW-SL,70000,61.0,61.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.8233479598431358,74.04666666666667,0.0,-0.020232721418142263,-0.08124859233697254
RW-SL,80000,61.0,61.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.8274573322146789,75.21833333333333,0.0,-0.045503820975621494,-0.07829086184501648
Target Oracle,5000,63.0,63.0,0.1,0.0,0.3,0.0,0.3317973434925079,0.5517905622720718,0.6704226760126812,61.00444444444444,0.0,-0.23179734349250788,-0.25179056227207186
Target Oracle,10000,63.0,63.0,0.1,0.0,0.3,0.0,0.2885792195796967,0.4931207905213038,0.7400022700573464,68.39111111111112,0.0,-0.18857921957969662,-0.19312079052130382
Target Oracle,20000,63.0,63.0,0.1,0.0,0.3,0.0,0.24329081773757932,0.4518389602502187,0.7948853217539429,72.93222222222222,0.0,-0.14329081773757932,-0.1518389602502187
Target Oracle,30000,63.0,63.0,0.1,0.0,0.3,0.0,0.20152699748675026,0.38674677113691963,0.7813434996204155,72.5925925925926,0.0,-0.10152699748675026,-0.08674677113691964
Target Oracle,40000,63.0,63.0,0.1,0.0,0.3,0.0,0.18950031002362566,0.4371747424205144,0.8041717259883977,74.44444444444444,0.0,-0.08950031002362564,-0.13717474242051442
Target Oracle,50000,63.0,63.0,0.1,0.0,0.3,0.0,0.16490000685056047,0.3674025634924571,0.7922670446788128,73.29911111111112,0.0,-0.06490000685056047,-0.06740256349245706
Target Oracle,60000,63.0,63.0,0.1,0.0,0.3,0.0,0.1821447352568308,0.4379463285207748,0.8143036597807166,74.55333333333333,0.0,-0.08214473525683082,-0.13794632852077482
Target Oracle,70000,63.0,63.0,0.1,0.0,0.3,0.0,0.12023272141814227,0.38124859233697256,0.8338666527065476,76.07492063492063,0.0,-0.020232721418142263,-0.08124859233697254
Target Oracle,80000,63.0,63.0,0.1,0.0,0.3,0.0,0.1455038209756215,0.3782908618450165,0.7899510755216276,72.33583333333333,0.0,-0.045503820975621494,-0.07829086184501648
